City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Alta Gracia,AR,2020-02-20 21:35:43,-31.65,-64.43,72.0,56,40,9.17
284,Springbok,ZA,2020-02-20 21:35:43,-29.66,17.89,70.92,52,0,4.83
285,Atambua,ID,2020-02-20 21:35:44,-9.11,124.89,74.48,87,28,3.02
286,Udachnyy,RU,2020-02-20 21:35:44,66.42,112.4,-2.2,84,25,6.71
287,Muravlenko,RU,2020-02-20 21:35:44,63.79,74.52,27.84,96,100,10.4
288,Atar,MR,2020-02-20 21:35:44,20.52,-13.05,73.51,12,0,7.07
289,Berkovica,BA,2020-02-20 21:35:44,44.62,18.43,28.4,100,0,1.12
290,Constitucion,CL,2020-02-20 21:35:45,-35.33,-72.42,69.57,36,0,4.0
291,Nishihara,JP,2020-02-20 21:35:45,26.18,127.76,62.6,72,20,8.05
292,San Juan,AR,2020-02-20 21:32:50,-31.54,-68.54,84.6,19,14,18.9
293,Mar Del Plata,AR,2020-02-20 21:31:08,-38.0,-57.56,66.0,67,40,14.99
294,Upernavik,GL,2020-02-20 21:34:25,72.79,-56.15,-11.58,99,100,4.09
295,Kodinsk,RU,2020-02-20 21:35:46,58.69,99.18,21.33,93,98,8.72
296,Birjand,IR,2020-02-20 21:35:46,32.87,59.22,53.6,16,40,29.97
297,Andros Town,BS,2020-02-20 21:35:46,24.7,-77.77,80.6,65,75,10.29
298,Raub,MY,2020-02-20 21:35:46,3.79,101.86,69.39,98,28,0.96
299,Mvangue,CM,2020-02-20 21:35:46,2.97,11.52,76.51,75,100,4.14
300,Boysun,UZ,2020-02-20 21:35:47,38.21,67.2,43.2,19,13,5.03
301,Zhanaozen,KZ,2020-02-20 21:35:47,43.3,52.8,41.11,49,100,5.06
302,Inta,RU,2020-02-20 21:35:47,66.03,60.17,17.98,95,100,7.0
303,Anadyr,RU,2020-02-20 21:35:47,64.75,177.48,-16.01,68,20,6.71
